Year Pistols Revolvers Rifles Shotguns Misc Firearms_Total
2004 14959 24122 62403 31025 7411 139920
2005 19196 29271 92098 46129 7988 194682
2006 144779 28120 102829 57771 34022 367521
2007 45053 34662 80594 26949 17524 204782
2008 54030 28205 104544 41186 523 228488
2009 56402 32377 61072 36455 8438 194744
2010 80041 25286 76518 43361 16771 241977
2011 121035 23221 79256 54878 18498 296888
2012 128313 19643 81355 42858 15385 287554
2013 167653 21236 131718 49766 22748 393121
2014 126316 25521 207934 60377 784 420932
2015 140787 22666 159707 18797 1499 343456
2016 172408 24587 147044 24668 8111 376818
2017 268805 21518 156750 29330 1261 477664
