Year Shotguns Rifles Handguns Total
2004 507050 564953 838856 1910859
2005 546403 682100 878172 2106675
2006 606820 659393 1166309 2432522
2007 725752 631781 1386460 2743993
2008 535960 602364 1468062 2606386
2009 558679 864010 2184417 3607106
2010 509913 547449 1782585 2839947
2011 529056 998072 1725276 3252404
2012 973465 1243924 2627201 4844590
2013 936235 1507776 3095528 5539539
2014 648339 791892 2185037 3625268
2015 644293 815817 2470101 3930211
2016 736482 729452 3671837 5137771
2017 632105 572309 3287842 4492256 
