Year Pistols Revolvers Rifles Shotguns Misc Firearms_Total
2004 728511 294099 1325138 731769 19508 3099025
2005 803425 274205 1431372 709313 23179 3241494
2006 1021260 385069 1496505 714618 35872 3653324
2007 1219664 391334 1610923 645231 55461 3922613
2008 1609381 431753 1734536 630710 92564 4498944
2009 1868258 547195 2248851 752699 138815 5555818
2010 2258450 558927 1830556 743378 67929 5459240
2011 2598133 572857 2318088 862401 190407 6541886
2012 3487883 667357 3168206 949010 306154 8578610
2013 4441726 725282 3979570 1203072 495142 10844792
2014 3633454 744047 3379549 935411 358165 9050626
2015 3557199 885259 3691799 777273 447131 9358661
2016 4720075 856291 4239335 848617 833123 11497441
2017 3601431 713577 2486941 635239 749896 8187084
