year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Total
2004,"222,544","303,217","464,563","406,210","868,209","548,011","143,358","36,000","338,769","957,739","9,540","847,182","812,609","1,159,442","661,769","471,423","684,768","623,871","224,099","329,707","259,968","2,272,955","1,594,619","1,167,886","287,272","935,854","495,908","575,486","394,105","233,432","429,205","460,545","95,545","754,189","1,086,640","348,924","1,409,238","2,520,673","32,823","265,906","347,928","1,131,450","1,266,103","230,153","823,123","192,308","791,512","2,599,506","830,748","240,898","34,187,932"
2005,"223,215","299,224","438,108","396,299","858,691","553,899","134,294","31,847","321,179","954,126","8,900","871,914","824,093","1,102,059","436,206","468,946","666,695","596,557","210,350","293,921","265,605","2,266,231","1,413,759","1,230,036","278,688","979,429","493,945","603,672","397,069","226,252","403,563","338,568","89,994","1,454,229","1,128,842","328,993","1,381,167","2,791,423","33,876","259,343","348,703","983,990","1,290,716","238,073","813,880","186,789","883,616","2,717,877","926,177","228,394","34,673,422"
2006,"223,048","302,220","422,822","391,973","833,977","581,733","133,311","28,968","324,353","989,964","8,309","962,830","846,824","1,221,932","552,135","470,884","654,743","602,229","235,117","168,356","260,362","2,174,714","1,397,641","1,742,387","279,905","1,007,542","497,567","592,632","405,644","223,430","418,089","338,290","110,443","1,375,917","1,179,515","307,589","1,331,894","2,718,624","33,988","457,410","370,227","1,302,277","1,294,660","242,701","817,220","170,680","902,485","3,030,609","949,284","242,143","36,131,597"
2007,"227,701","289,660","421,548","415,432","831,531","581,235","129,443","30,016","294,724","989,964","8,292","980,685","902,194","1,279,714","445,588","470,973","599,548","761,795","222,513","310,730","253,863","2,018,817","1,377,389","1,731,058","274,680","1,000,846","488,982","620,286","406,359","220,561","415,802","324,609","120,602","936,592","1,104,617","288,373","1,329,338","2,828,198","31,639","479,965","387,164","1,093,825","1,444,364","231,901","791,509","154,596","929,616","3,143,230","738,049","249,489","35,609,605"
2008,"227,588","283,899","388,698","428,669","830,700","566,298","127,746","44,956","280,643","1,235,114","9,372","1,009,364","913,007","1,431,133","460,800","481,477","615,832","237,618","220,015","303,779","278,775","2,030,036","1,456,775","1,736,304","314,223","1,044,772","522,774","636,963","449,663","222,164","431,715","212,187","135,139","922,855","1,121,921","277,600","1,322,269","2,622,327","34,628","517,773","397,779","725,238","1,512,583","267,512","794,827","165,583","837,738","3,072,436","753,449","266,483","35,181,199"
2009,"227,588","291,183","424,003","428,669","841,239","566,298","127,746","44,875","159,070","1,235,990","7,812","990,844","913,007","1,431,133","460,800","485,091","615,832","257,134","220,645","338,748","278,775","1,986,632","1,456,775","1,735,761","333,364","1,044,772","547,584","649,949","449,663","222,164","431,715","231,646","135,139","901,313","1,164,034","281,390","1,322,269","2,562,760","34,628","535,360","418,141","832,944","1,539,111","267,512","795,015","172,964","782,009","3,072,436","753,449","266,483","35,273,464"
2010,"239,557","287,455","434,479","419,161","836,694","538,734","124,647","47,562","322,445","1,254,371","7,803","971,151","959,296","1,467,858","451,979","489,728","562,986","264,939","224,446","321,774","276,493","1,975,715","1,419,876","1,728,471","362,948","1,039,982","373,055","677,523","459,212","222,364","455,066","296,653","127,914","899,036","1,084,277","292,514","279,893","2,536,376","34,628","558,532","439,537","783,115","1,596,084","292,695","802,526","172,964","763,171","2,887,881","736,383","278,632","34,080,581"
2011,"250,073","625,962","481,943","411,617","828,735","538,734","130,361","45,503","327,973","1,185,594","9,653","965,859","946,859","1,520,262","472,874","489,728","537,982","270,713","234,851","326,021","264,067","2,009,229","1,471,568","1,762,735","259,045","1,065,258","372,369","656,465","448,366","217,306","443,704","267,157","126,198","732,654","417,491","305,787","1,318,164","2,526,585",0,"567,796","441,264","756,236","1,473,969","374,210","810,659","188,068","775,028","2,972,072","767,999","260,973","34,653,719"
2012,"353,266","607,121","468,656","409,680","875,297","535,893","135,711","44,087","326,835","1,069,502","10,421","943,322","978,693","1,489,893","489,040","514,090","579,026","599,516","390,013","323,275","261,404","2,005,244","1,424,718","1,776,575","249,109","1,073,594","352,366","646,709","451,121","218,346","444,884","269,843","130,471","1,091,187","423,715","301,441","1,289,930","2,668,549","8,798","638,166","432,327","731,401","1,442,357","386,191","789,834","191,735","770,206","3,041,084","778,357","265,887","35,698,886"
2013,"278,400","609,156","475,057","414,623","834,739","537,371","127,612","42,341","369,998","964,738","10,653","876,313","958,761","1,448,776","491,802","489,223","566,072","621,388","227,487",0,"251,988","1,946,100","1,553,789","1,765,901","245,028","1,005,130","358,606","625,338","420,893","209,194","368,420","2,648,830","128,661","1,065,247","416,101","289,240","1,255,439","2,427,886","8,605","399,386","430,552","697,018","1,473,996","385,032","816,776","189,241","738,385","2,941,549","710,174","269,424","36,386,439"
2014,"287,352","597,095","492,479","409,672","847,348","528,174","118,798","29,513","356,262","1,028,840","7,970","860,078","1,015,884","1,436,679","497,715","471,678","578,862","645,912","250,778","351,004","247,098","1,906,410","1,525,137","1,787,229","340,714","964,200","352,226","587,388","447,509","203,793","345,727","250,163","129,589","1,077,625","1,174,147","290,577","1,240,155","2,668,942","9,025","428,526","414,924","720,420","1,450,212","370,250","818,851","172,351","666,678","2,880,270","684,738","264,957","35,231,924"
2015,"310,644","599,876","498,919","422,136","847,348","530,736","128,666","57,060","380,398","1,058,503","11,486","841,793","1,029,816","1,440,993","423,318","493,665","594,389","659,165","246,509","339,319","253,477","1,896,927","1,571,600","1,831,083","418,042","965,823","347,452","549,909","419,950","212,046","353,652","302,504","143,889","1,114,904","1,151,515","311,776","1,291,430","2,642,943","33,872","423,437","402,372","757,359","1,537,431","367,527","830,192","183,780","676,025","2,968,341","704,055","261,991","35,840,043"
2016,"362,739","604,043","521,098","446,402","1,035,351","545,216","131,331","58,299","353,926","1,456,426","12,202","601,508","1,081,968","1,563,709","426,349","520,232","617,129","677,582","253,725","129,376","259,854","1,884,724","1,486,362","1,827,753","433,090","990,082","363,336","543,500","417,689","219,741","366,625","353,760","146,631","1,071,806","1,098,675","312,573","1,253,956","2,664,373","8,978","434,043","400,704","785,761","1,611,342","386,403","843,423","178,743","674,196","2,941,239","719,105","249,478","36,326,556"
2017,"402,002","587,686","533,585","540,038","1,054,000","563,870","125,402","60,203","384,611","1,458,621","12,521","606,302","1,151,159","1,372,038","417,124","517,519","614,120","676,500","252,212","343,495","252,763","2,268,341","1,413,430","1,782,319","428,478","968,295","347,124","517,440","417,591","219,698","414,662","323,624","149,112","1,145,131","1,037,841","321,534","1,238,680","2,378,225","33,200","802,737","362,804","785,026","1,641,604","410,468","839,898","177,428","685,166","2,836,703","705,072","240,862","36,818,264"
