year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Total
2004,"97,537","273,638","402,493","183,478","320,092","300,574","57,720","21,488","181,857","338,045","9,032","257,899","246,284","300,883","285,573","188,310","349,951","272,912","68,488","128,569","197,908","870,432","585,104","539,062","249,591","227,365","433,135","141,816","174,927","67,586","82,814","111,188","61,455","696,679","426,856","330,336","297,944","1,048,731","10,750","279,203","216,152","725,110","1,027,908","159,678","314,748","92,138","198,162","689,099","288,098","137,608","14,966,406"
2005,"99,121","270,229","386,559","181,467","315,588","309,801","54,926","20,066","176,320","331,795","8,388","269,014","245,358","293,994","232,819","195,874","347,379","268,793","56,662","123,699","201,136","863,946","573,424","542,477","235,447","232,276","433,542","146,010","176,502","63,975","81,501","109,948","60,805","641,572","425,992","331,672","295,422","1,017,802","10,691","211,605","207,973","727,525","1,039,327","154,884","304,605","90,110","194,308","716,200","262,835","137,677","14,679,041"
2006,"98,084","267,354","378,162","182,044","305,962","318,971","54,130","18,480","175,067","314,569","8,211","286,607","250,648","330,360","250,573","202,274","350,544","277,108","69,500","120,914","205,600","832,835","571,581","492,500","234,797","232,869","438,172","147,240","165,952","62,587","86,588","103,968","58,722","627,749","442,214","341,260","283,327","1,018,664","9,302","210,136","232,053","730,495","1,073,847","153,501","317,484","86,512","193,046","722,803","254,222","136,839","14,726,427"
2007,"99,954","259,241","375,737","196,706","299,303","312,151","52,207","19,472","161,273","314,569","7,775","280,398","254,678","336,203","282,261","198,368","343,456","280,167","59,016","122,371","199,102","789,244","571,547","479,959","236,067","231,936","427,608","148,919","170,785","60,737","82,566","105,966","60,385","573,970","431,815","341,213","279,140","1,006,293","8,940","220,126","243,123","775,511","1,039,709","148,849","317,239","81,265","197,135","713,610","238,355","139,064","14,575,484"
2008,"96,979","255,923","354,042","202,976","295,163","306,179","48,857","19,681","167,524","390,892","8,741","291,424","255,077","328,975","265,709","209,170","347,848","269,471","57,193","118,708","195,568","814,643","578,244","487,442","225,150","240,613","440,896","152,691","171,419","61,076","80,246","96,160","64,031","611,644","420,621","345,020","279,937","981,124","9,075","199,540","239,419","780,053","1,005,226","157,217","309,942","83,708","197,215","721,851","237,343","145,952","14,623,598"
2009,"96,979","264,640","380,931","202,976","300,615","306,179","48,857","19,890","170,282","273,272","6,856","290,171","255,077","328,975","265,709","208,992","347,848","293,224","59,158","123,994","195,568","802,299","578,244","483,911","231,865","240,613","460,577","156,713","171,419","61,076","80,246","94,243","64,031","594,992","400,736","362,806","279,937","943,222","9,075","205,059","248,495","667,606","1,012,446","157,217","318,993","84,044","197,260","721,851","237,343","145,952","14,452,464"
2010,"97,858","264,710","381,521","201,627","296,623","294,186","49,493","18,746","170,554","302,190","7,407","271,434","256,664","301,688","264,323","214,107","339,483","304,661","57,153","120,630","196,160","790,789","579,060","480,883","238,036","243,751","475,375","163,174","177,939","59,768","76,398","100,346","65,047","597,006","395,567","356,257","279,893","925,885","9,075","204,445","259,159","671,120","1,020,779","165,033","307,995","84,044","209,050","721,399","229,115","149,581","14,447,187"
2011,"101,750","540,098","390,932","191,834","293,263","294,186","50,066","19,271","176,539","307,436","9,002","264,699","254,195","333,061","272,282","214,107","328,321","314,846","59,470","121,982","193,436","795,535","581,828","485,413","232,546","245,550","494,005","156,906","175,944","59,154","79,539","102,463","63,709","676,669","408,142","379,884","283,749","927,655","8,858","223,008","256,191","700,621","1,024,520","207,232","307,642","83,681","196,276","716,504","234,192","135,336","14,973,528"
2012,"106,653","527,713","385,275","194,727","289,609","288,086","46,582","18,691","176,034","324,561","9,677","256,896","252,573","328,995","279,214","235,021","336,463","325,446","57,346","119,969","191,280","786,880","576,723","491,357","226,940","243,570","505,530","154,047","175,874","59,420","77,584","96,424","64,635","592,216","413,710","386,374","282,812","970,217","8,798","234,457","251,655","698,993","1,020,227","212,378","304,206","82,307","194,272","718,261","233,349","142,251","14,956,278"
2013,"101,547","530,127","390,554","195,664","281,472","286,363","44,178","18,184","176,616","363,575","9,815","227,408","248,728","321,739","273,929","226,553","330,238","345,525","57,641","120,321","189,120","761,269","579,910","486,608","220,266","235,621","521,717","156,052","177,623","59,301","77,607","97,893","64,334","581,401","405,866","381,049","260,949","968,735","8,605","173,942","253,512","530,547","1,036,946","211,863","300,764","80,650","188,081","704,357","221,806","143,155","14,629,726"
