,year,all_permit,all_permit_recheck,all_multiple,all_admin,total_handgun,total_long_gun,total_other,all_total_bckgnd_chk
0,1998,78169.0,0.0,8711,2219.0,219595.0,582682.0,0.0,891376
1,1999,1037700.0,0.0,103669,148115.0,2532511.0,5216320.0,0.0,9038315
2,2000,1227814.0,0.0,95681,131648.0,2187581.0,4778762.0,0.0,8421486
3,2001,1408338.0,0.0,96984,100126.0,2189439.0,5017570.0,0.0,8812457
4,2002,1363211.0,0.0,92892,76776.0,2014372.0,4811323.0,0.0,8358574
5,2003,1403496.0,0.0,99034,69946.0,2031670.0,4789796.0,0.0,8393942
6,2004,1345672.0,0.0,101737,51559.0,2170546.0,4902212.0,0.0,8571726
7,2005,1350193.0,0.0,109549,13158.0,2420438.0,4964261.0,0.0,8857599
8,2006,2036569.0,0.0,129897,41792.0,2624036.0,5150461.0,0.0,9982755
9,2007,3077655.0,0.0,324191,27318.0,2812330.0,4910504.0,0.0,11151998
10,2008,3697854.0,0.0,186889,13883.0,3526870.0,5258744.0,0.0,12684240
11,2009,4449333.0,0.0,235469,7291.0,3907772.0,5351294.0,23164.0,13974323
12,2010,4882948.0,0.0,180396,6723.0,3934424.0,5252266.0,53169.0,14309926
13,2011,5544418.0,0.0,219353,11903.0,4592538.0,5884286.0,70541.0,16323039
14,2012,5683545.0,0.0,229924,6670.0,6021948.0,7341010.0,163407.0,19446504
15,2013,6168970.0,0.0,240999,5663.0,6734730.0,7582862.0,213537.0,20946761
16,2014,7768805.0,0.0,225060,4257.0,6575310.0,5997334.0,269502.0,20840268
17,2015,8780938.0,0.0,242060,7032.0,7739794.0,5904753.0,331651.0,23006228
18,2016,11133748.0,519265.0,257368,3366.0,8515094.0,6386569.0,590139.0,27405549
19,2017,9940099.0,1046410.0,235746,5643.0,7684778.0,5615424.0,404284.0,24932384
20,2018,10226008.0,2424274.0,256644,14766.0,7039782.0,5272167.0,499808.0,25733449
21,2019,819887.0,341938.0,17276,690.0,550571.0,370325.0,46574.0,2147261
