,year,all_permit,all_permit_recheck,all_multiple,all_admin,total_handgun,total_long_gun,total_other,all_total_bckgnd_chk,US_POP,total_long_guns_us,total_handguns_us,total_other_us
0,2004,1345672.0,0.0,101737,51559.0,2170546.0,4902212.0,0.0,8571726,292237544,3035482,1822385,12097
1,2005,1350193.0,0.0,109549,13158.0,2420438.0,4964261.0,0.0,8857599,294949463,3230961,1907335,15191
2,2006,2036569.0,0.0,129897,41792.0,2624036.0,5150461.0,0.0,9982755,297809231,3316736,2399739,1850
3,2007,3077655.0,0.0,324191,27318.0,2812330.0,4910504.0,0.0,11151998,300656803,3506144,2917743,37937
4,2008,3697854.0,0.0,186889,13883.0,3526870.0,5258744.0,0.0,12684240,303513730,3357840,3426961,92041
5,2009,4449333.0,0.0,235469,7291.0,3907772.0,5351294.0,23164.0,13974323,306179301,4326712,4511091,130377
6,2010,4882948.0,0.0,180396,6723.0,3934424.0,5252266.0,53169.0,14309926,308721000,3511417,4494635,51158
7,2011,5544418.0,0.0,219353,11903.0,4592538.0,5884286.0,70541.0,16323039,310960407,4573483,4752010,171909
8,2012,5683545.0,0.0,229924,6670.0,6021948.0,7341010.0,163407.0,19446504,313239493,6210392,6634485,290769
9,2013,6168970.0,0.0,240999,5663.0,6734730.0,7582862.0,213537.0,20946761,315407296,7445169,8073647,472394
10,2014,7768805.0,0.0,225060,4257.0,6575310.0,5997334.0,269502.0,20840268,317723908,5486880,6410701,357381
11,2015,8780938.0,0.0,242060,7032.0,7739794.0,5904753.0,331651.0,23006228,320067419,5750678,6749106,445632
12,2016,11133748.0,519265.0,257368,3366.0,8515094.0,6386569.0,590139.0,27405549,322384767,6382174,9051208,825012
13,2017,9940099.0,1046410.0,235746,5643.0,7684778.0,5615424.0,404284.0,24932384,324451430,4140514,7312527,748635
